,comments,like_count,reply_count,author_name,author_url_profile
796,prithvi Shaw - sasta Shane warne,4,0,Lüv乇īhimanshu Gaming,http://www.youtube.com/channel/UCW6SYn_-5j91-V8WDiK5Tkw
797,My 1st test 11<br />Mayank<br />gill<br />Pujara<br />Kohli<br />Rahane<br />Pant<br />Hanuma.<br />Bumrah<br />Ashwin<br />Shami<br />Umesh,17,18,Sohan Das,http://www.youtube.com/channel/UCZkxwYkh3qYCjSZbfUpySOg
798,Against this inexperienced team also india couldn&#39;t win 🤦‍♀️. Can&#39;t describe wildermuth &amp; dermott&#39; s performance in words.,3,0,Australia lover and supporter,http://www.youtube.com/channel/UCBTyViunTUDrJDOXweebiew
799,Subscribe me,0,0,desi music records,http://www.youtube.com/channel/UCnCZktoRTAYGk4mSHnUKlIw
800,It seems like yesterday&#39;s replay of Indian batting🙄<br />McDermott played like Vihari<br />Wildermuth played like Pant👍,72,9,Shriharsha B S,http://www.youtube.com/channel/UCkdOJfT6y15aEIr00-cNpTQ
801,Mohammad shami world of the intelligent bowling😍😍.. Love from 🇧🇩🇧🇩🇧🇩🇧🇩,7,0,Mahmudul Hasan Riyad,http://www.youtube.com/channel/UC83aa7_PJsbHntHj0bsBRUQ
802,Bumrah bowling well but not having those wickets these days,536,31,Gopi Krishna,http://www.youtube.com/channel/UCSyUo-jJy8VnrxanAZ8Lisg
803,😂😂😂😂😂,4,5,Sanjay Baisoya,http://www.youtube.com/channel/UC2EcJ8PQjKY3ZDFjNXiz7MQ
804,Best Cricket🏏🏏🏏,1,1,Rinki Paswan,http://www.youtube.com/channel/UCKBxVFq2iBnVaMcTyWhRMLQ
805,Plzz Supecribe to my channel plzz guys🤣😂😂😂😂😂😂,1,0,Tv Asahi HD,http://www.youtube.com/channel/UCBW7SNBisg_k0YjdpN0352g
806,First time the australia video begin without akshay kumar promoting video 😀😁😂 ..Bad luck for whom  who is seeing after 30 minutes The Lord Akshay is back 😣😣,1436,102,IPL Bharat,http://www.youtube.com/channel/UCIv1QyMG10Bwe-iEENiuxCw
807,I think our indian tailenders should do batting practice ahead of the match when we toured eng nz or aus we were frustrated by the batting of their tailenders let&#39;s see if bumrah can score 20 odd run or not,545,38,Manish Pradhan,http://www.youtube.com/channel/UCLdlYYmZozzr75BbzooLcTQ
808,"so pitch hi road ban chuki thi, mai socha aaj jeet jaayegi india",0,1,gopal bhardwaj,http://www.youtube.com/channel/UCULgMFam3LIDfLkPkDYVZ2Q
809,First comment,1,0,Harish Hari,http://www.youtube.com/channel/UCafsLQR0fogGDSCO4sk0_BA
810,Pant is a great human he online like red balls with dark Shadow 😁😁,0,0,Boost Tag,http://www.youtube.com/channel/UCIK5HuB5Ol5DAb-czGoJDGA
811,India have been given a reality check. The pink ball becomes soft after a while and scoring runs becomes easy,42,7,Miz is Awesome,http://www.youtube.com/channel/UC9UaUDuo7X5txtoFDa7husw
812,MMT mathe me tic 💟💟💟💟💟💟💟,0,0,Cricket Number Game MMT,http://www.youtube.com/channel/UCP71mQZBrp7iLbqQTvALndw
813,40th view and 8th comment,1,0,Mahesh Dixit,http://www.youtube.com/channel/UCCIyGqGaZZrXyhU3JGgzx-g
814,40th view,0,1,ABHIGYAN SINGH,http://www.youtube.com/channel/UCmeDJ_lbRyGHetNJyunAq2w
815,5th comment,2,0,Varun Repalto,http://www.youtube.com/channel/UCOMAjaUFWWAQ1D01yaWgO9Q
816,Who will win 1st Test 🤔?<br />India - odd likes<br />Australia - even likes,211,23,Franklin Jeno,http://www.youtube.com/channel/UCvYxoiRtL9Co7Tz85vJqdoQ
817,First,1,0,X ORANGE SARTHAK AGARWAL 7602,http://www.youtube.com/channel/UCq2ayZ7GPwpyq93kz0-Yr9w
818,First vies,0,0,DPL. HERO,http://www.youtube.com/channel/UC9qjmFX5BO3hbpJ1y19KWUw
819,1st,2,0,UNSTABLE VICKY,http://www.youtube.com/channel/UCePmz5RYlHrD4NRFTSPxk2g
820,first dislike...,1,0,Chetan Sharma,http://www.youtube.com/channel/UC0HxGIYtEkDhwkCI2EvsdCg
821,Yo,1,0,Apoorva Deshpande,http://www.youtube.com/channel/UCnLo9UJA0rQKl2cV_yPkPXg
822,😎😎🔥🔥🔥🔥🔥🔥🔥🔥🔥🎉🎉🔥🎉🔥🔥🔥🎉,0,0,Rahis Khan,http://www.youtube.com/channel/UCd_-IsH8skNmS_WPKkWeVKg
823,1st,2,0,Swarnava Ghosh,http://www.youtube.com/channel/UC_fPvwGr5MVNhVLkhjG8YCw
824,1st,2,0,SMART FACTS,http://www.youtube.com/channel/UCT7i-ny4L0Sqh9Sb-MPY5XA
825,1st,2,0,Kowshik Reddy Mendu,http://www.youtube.com/channel/UC4OVRcpoCUT4h5AeKzIF9lA
826,"Visit my channel to see that: <br />1. David Warner shared video on Instagram, in this video he edits (replaced) his face in trailer of sultan.<br />2. Varun chakravarti(bowling) and his wife (batting) on their marriage (wedding) day.<br />3. ICC ODI ranking after India vs Australia series.<br />4. ICC t20 ranking after India vs Australia series.",1,0,Ramesh yadav,http://www.youtube.com/channel/UCgpLCkbe00Ta4YS1TxosDHg
827,hii,1,0,Ankit kumar Paritosh,http://www.youtube.com/channel/UCyokOdvY-3VryMZFbXiLXsg
828,&quot;One of the people who like this you will be a<br />Billionaire one day<br />&quot;&quot;Good luck&quot;&quot;🥰💋&quot;&quot;&quot;,6,0,Alika Gaming YT,http://www.youtube.com/channel/UC9QhhMufY05moXEm4K6w3Ig
829,First,1,0,Alex Harvey,http://www.youtube.com/channel/UC_9h9C_kAtHc7nmbqScN-ow
